R2-PINH,158.79,6.32,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,87.57,63.59,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,145.67,50.07,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.93,51.67,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,123.40,45.33,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,68.74,14.61,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.38,16.91,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,9.32,100.57,90.00,10K\,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,47.41,32.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,45.90,32.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,41.69,32.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.86,27.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.15,107.35,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,45.48,106.77,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,92.33,62.34,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,61.10,106.04,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,79.78,26.83,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.89,106.19,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.18,12.92,88.40,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.44,12.39,0.00,,SJ
TP1,11.69,69.49,0.00,TPTP20R,TP20R
TP10,20.87,31.41,0.00,TPTP20R,TP20R
TP11,124.82,53.41,0.00,TPTP20R,TP20R
TP12,20.62,69.51,0.00,TPTP20R,TP20R
TP13,24.67,69.61,0.00,TPTP20R,TP20R
TP14,119.32,53.91,0.00,TPTP20R,TP20R
TP15,82.77,65.11,0.00,TPTP20R,TP20R
TP16,72.72,104.11,0.00,TPTP20R,TP20R
TP17,99.27,37.61,0.00,TPTP20R,TP20R
TP2,16.21,69.39,0.00,TPTP20R,TP20R
TP3,127.83,53.79,0.00,TPTP20R,TP20R
TP4,84.45,98.99,0.00,TPTP20R,TP20R
TP5,89.07,99.09,0.00,TPTP20R,TP20R
TP6,24.49,93.89,0.00,TPTP20R,TP20R
TP7,16.91,31.19,0.00,TPTP20R,TP20R
TP8,12.93,31.19,0.00,TPTP20R,TP20R
TP9,7.75,69.69,0.00,TPTP20R,TP20R
U1,35.59,55.36,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,54.26,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.55,56.50,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,135.54,51.52,0.00,MAX17048G+T10,SON50P200X200X80-9N
